121H,"  SIDCO,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THATHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  ST THOMAS MOUNT PO,  MEENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRPORT,  PALLAVARAM,  CHROMEPET,  T.B.SANATORIUM"
,
121M,"  KOYAMBEDU SCHOOL,  THIRUMANGALAM,  WEELS INDIA RD.JN.,  WATER PIPE THATHANKUPPAM,  MALLIGAI NAGAR AVE,  BUS BAY-17TH KM"
,
129C,"  JAMALAYA,  SHIVASHANMUGAPURAM,  LADY MCTM SCHOOL/MILLERS RD,  K.M.C.,  STERLING RD./METROLOG. DEPT.,  CORPORATION OFFICE/STERLING RD,  VIDYODAYA,  BHARATHI NAGAR(PERIYAR PATAHI),  THIAGARAYA NAGAR,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  PAZHAVANTHANGAL ROAD JN.,  CHIDAMBARAM STORES"
,
12B,"  TRUSTPURAM,  BHARATHI NAGAR(PERIYAR PATAHI),  PONDY BAZAAR,  F.C.I OLD,  LUZ,  SANTHOME P.O"
,
12E,"  VADAPALANI,  TRUSTPURAM,  BHARATHI NAGAR(PERIYAR PATAHI),  PONDY BAZAAR,  F.C.I OLD,  LUZ,  SANTHOME P.O"
,
12G,"  VIVEKANANDA HOUSE,  V.M.STREET,  LUZ,  F.C.I OLD,  PONDY BAZAAR,  ANJUGAM SCHOOL,  GOVT. GIRLS H.SC,  Jn.OF P.T.R Rd/KAMARAJ Rd,  MUTHUMARIAMMAN KOIL"
,
